id,str
1,[[3,2],[9,6],[27,18]]
2,[[3,2],[9,6]]
3,[[3,2]]
4,[[3,2],[9,6]]
5,[[3,8],[9,18]]
6,[[3,2],[9,6]]
7,[[3,2],[9,6]]
8,[[3,8],[9,6]]
9,[[3,2],[9,12]]
10,[[3,8],[9,6]]
11,[[3,8],[9,6]]
12,[[3,2],[9,12]]
13,[[3,8]]
14,[[3,2]]
15,[[3,8]]
16,[[3,8]]
17,[[3,2]]
18,[[3,8],[9,18]]
19,[[3,8]]
20,[[3,8]]
21,[[3,8]]
22,[[3,2]]
23,[[3,8]]
24,[[3,8]]
25,[[3,26]]
26,[[3,8]]
27,[[3,8]]
28,[[3,8]]
29,[[3,2]]
30,[[3,8]]
31,[[3,14]]
33,[[3,2]]
34,[[3,2]]
35,[[3,8]]
36,[[3,8]]
37,[[3,8]]
38,[[3,2]]
39,[[3,8]]
41,[[3,2]]
42,[[3,2]]
43,[[3,8]]
44,[[3,8]]
45,[[3,8]]
46,[[3,2]]
47,[[3,2]]
48,[[3,14]]
49,[[3,2]]
50,[]
51,[]
52,[[3,2]]
53,[[3,2],[9,6]]
54,[[3,2]]
55,[[3,2]]
56,[[3,8]]
57,[[3,8]]
58,[[3,26]]
59,[]
