id,str
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,2
10,2
11,1
12,2
13,1
15,2
16,1
17,1
18,2
19,2
20,2
21,2
22,1
23,2
24,2
25,2
26,2
27,1
28,2
29,2
30,1
31,1
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,1
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,1
105,1
106,1
107,2
108,2
109,1
110,1
111,1
112,1
113,1
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,3
145,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,3
162,2
163,2
164,2
165,2
166,1
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,3
181,2
182,2
183,2
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,2
194,2
195,2
196,2
197,3
198,3
199,3
200,2
201,2
202,2
203,2
204,2
205,2
206,3
207,2
208,2
209,2
210,1
211,1
212,3
213,2
214,2
215,2
216,1
217,1
218,1
219,2
220,1
221,1
222,2
223,2
224,2
225,2
226,2
227,1
228,2
229,2
230,1
231,3
232,2
233,3
234,2
235,2
236,1
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,3
247,2
248,3
249,1
250,1
251,1
252,3
253,2
254,3
255,1
256,2
257,2
258,2
259,2
260,1
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,1
271,3
272,2
273,2
274,2
275,2
276,2
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,2
293,2
294,3
295,3
296,2
297,3
298,2
299,2
300,2
301,4
302,2
303,3
304,2
305,3
306,2
307,1
308,2
309,2
310,2
311,1
312,2
313,2
314,2
315,1
316,3
317,2
318,2
319,2
321,1
322,2
323,3
324,2
325,3
326,1
327,2
328,2
329,2
330,2
331,1
332,2
333,1
334,1
335,2
336,2
337,3
338,2
339,1
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,3
349,3
350,3
351,3
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,3
363,2
364,1
365,2
366,3
367,2
368,2
369,1
370,2
371,2
372,2
373,2
374,2
375,2
376,2
377,2
378,2
379,2
380,2
381,2
382,2
383,1
384,2
385,1
386,2
387,2
388,1
389,2
390,1
391,3
392,3
393,3
394,1
395,2
397,3
398,2
399,1
400,2
401,2
402,2
403,2
405,2
406,2
407,3
408,3
409,4
410,3
411,3
412,2
413,2
414,3
415,2
416,2
417,3
418,2
419,2
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,1
457,3
458,3
459,3
460,3
461,2
462,2
466,2
467,2
468,2
469,2
470,2
471,3
472,2
473,2
474,2
477,2
478,2
479,2
480,2
482,2
483,2
484,2
485,2
